airport_id,airport_seq_id,airport_code,city_name,state,airport_name
12953,1295304,LGA,"New York, NY",NY,LaGuardia Airport
13871,1387102,OMA,"Omaha, NE",NE,Eppley Airfield
13851,1385103,OKC,"Oklahoma City, OK",OK,Will Rogers World Airport
11481,1148102,ECP,"Panama City, FL",FL,Northwest Florida Beaches International Airport
12951,1295106,LFT,"Lafayette, LA",LA,Lafayette Regional Airport
10299,1029906,ANC,"Anchorage, AK",AK,Ted Stevens Anchorage International Airport
15249,1524906,TLH,"Tallahassee, FL",FL,Tallahassee International Airport
15096,1509602,SYR,"Syracuse, NY",NY,Syracuse Hancock International Airport
10257,1025702,ALB,"Albany, NY",NY,Albany International Airport
14574,1457405,ROA,"Roanoke, VA",VA,Roanoke-Blacksburg Regional Airport
12016,1201602,GUM,"Guam, TT",TT,Antonio B. Won Pat International Airport
10279,1027903,AMA,"Amarillo, TX",TX,Rick Husband Amarillo International Airport
14252,1425202,PSC,"Pasco/Kennewick/Richland, WA",WA,Tri-Cities Airport
12129,1212903,HIB,"Hibbing, MN",MN,Range Regional Airport
14709,1470904,SCC,"Deadhorse, AK",AK,Deadhorse Airport
10754,1075405,BRW,"Barrow, AK",AK,Wiley Post–Will Rogers Memorial Airport
10926,1092603,CDV,"Cordova, AK",AK,Merle K. (Mudhole) Smith Airport
11337,1133703,DLH,"Duluth, MN",MN,Duluth International Airport
11997,1199702,GST,"Gustavus, AK",AK,Gustavus Airport
15008,1500802,STC,"St. Cloud, MN",MN,St. Cloud Regional Airport
14716,1471604,SCK,"Stockton, CA",CA,Stockton Metropolitan Airport
11865,1186503,GCC,"Gillette, WY",WY,Gillette–Campbell County Airport
14588,1458805,ROW,"Roswell, NM",NM,Roswell International Air Center
14004,1400404,PAE,"Everett, WA",WA,Paine Field
11630,1163004,FAI,"Fairbanks, AK",AK,Fairbanks International Airport
10558,1055804,BFF,"Scottsbluff, NE",NE,Western Nebraska Regional Airport
15074,1507403,SWO,"Stillwater, OK",OK,Stillwater Regional Airport
14487,1448704,RDD,"Redding, CA",CA,Redding Municipal Airport
12173,1217305,HNL,"Honolulu, HI",HI,Daniel K. Inouye International Airport
14057,1405702,PDX,"Portland, OR",OR,Portland International Airport
11292,1129202,DEN,"Denver, CO",CO,Denver International Airport
12323,1232305,ILM,"Wilmington, NC",NC,Wilmington International Airport
13486,1348602,MSO,"Missoula, MT",MT,Missoula Montana Airport
11146,1114607,CRW,"Charleston/Dunbar, WV",WV,West Virginia International Yeager Airport
14689,1468902,SBA,"Santa Barbara, CA",CA,Santa Barbara Municipal Airport
13256,1325602,MFE,"Mission/McAllen/Edinburg, TX",TX,McAllen International Airport
11003,1100303,CID,"Cedar Rapids/Iowa City, IA",IA,The Eastern Iowa Airport
14489,1448902,RDM,"Bend/Redmond, OR",OR,Redmond Municipal Airport
14633,1463303,RST,"Rochester, MN",MN,Rochester International Airport
13433,1343302,MOT,"Minot, ND",ND,Minot International Airport
11898,1189802,GFK,"Grand Forks, ND",ND,Grand Forks International Airport
13277,1327702,MGM,"Montgomery, AL",AL,Montgomery Regional Airport
15389,1538902,TWF,"Twin Falls, ID",ID,Magic Valley Regional Airport
11308,1130802,DHN,"Dothan, AL",AL,Dothan Regional Airport
14794,1479405,SGU,"St. George, UT",UT,St. George Regional Airport
10141,1014106,ABR,"Aberdeen, SD",SD,Aberdeen Regional Airport
13127,1312702,LWS,"Lewiston, ID",ID,Lewiston–Nez Perce County Airport
10631,1063104,BJI,"Bemidji, MN",MN,Bemidji Regional Airport
12255,1225502,HYS,"Hays, KS",KS,Hays Regional Airport
12094,1209402,HDN,"Hayden, CO",CO,Yampa Valley Airport
11503,1150305,EGE,"Eagle, CO",CO,Eagle County Regional Airport
14828,1482805,SIT,"Sitka, AK",AK,Sitka Rocky Gutierrez Airport
14112,1411206,PIE,"St. Petersburg, FL",FL,St. Pete–Clearwater International Airport
14761,1476106,SFB,"Sanford, FL",FL,Orlando Sanford International Airport
13377,1337703,MLU,"Monroe, LA",LA,Monroe Regional Airport
13459,1345904,MQT,"Marquette, MI",MI,Sawyer International Airport
11146,1114608,CRW,"Charleston/Dunbar, WV",WV,West Virginia International Yeager Airport
16869,1686902,XWA,"Williston, ND",ND,Williston Basin International Airport
10849,1084906,BZN,"Bozeman, MT",MT,Bozeman Yellowstone International Airport
16101,1610102,YKM,"Yakima, WA",WA,Yakima Air Terminal (McAllister Field)
10693,1069303,BNA,"Nashville, TN",TN,Nashville International Airport
13198,1319802,MCI,"Kansas City, MO",MO,Kansas City International Airport
14457,1445703,RAP,"Rapid City, SD",SD,Rapid City Regional Airport
12191,1219104,HOU,"Houston, TX",TX,William P. Hobby Airport
14574,1457407,ROA,"Roanoke, VA",VA,Roanoke-Blacksburg Regional Airport
13502,1350203,MTJ,"Montrose/Delta, CO",CO,Montrose Regional Airport
13029,1302903,LNK,"Lincoln, NE",NE,Lincoln Airport
10728,1072806,BPT,"Beaumont/Port Arthur, TX",TX,Jack Brooks Regional Airport
14633,1463304,RST,"Rochester, MN",MN,Rochester International Airport
12891,1289103,LAW,"Lawton/Fort Sill, OK",OK,Lawton–Fort Sill Regional Airport
14869,1486903,SLC,"Salt Lake City, UT",UT,Salt Lake City International Airport
13342,1334207,MKE,"Milwaukee, WI",WI,Milwaukee Mitchell International Airport
11042,1104205,CLE,"Cleveland, OH",OH,Cleveland Hopkins International Airport
14908,1490803,SNA,"Santa Ana, CA",CA,John Wayne Airport
12758,1275804,KOA,"Kona, HI",HI,Ellison Onizuka Kona International Airport at Keahole
13931,1393102,ORF,"Norfolk, VA",VA,Norfolk International Airport
10792,1079206,BUF,"Buffalo, NY",NY,Buffalo Niagara International Airport
10994,1099402,CHS,"Charleston, SC",SC,Charleston International Airport
11423,1142307,DSM,"Des Moines, IA",IA,Des Moines International Airport
11109,1110902,COS,"Colorado Springs, CO",CO,Colorado Springs Airport
12441,1244102,JAC,"Jackson, WY",WY,Jackson Hole Airport
12884,1288403,LAN,"Lansing, MI",MI,Capital Region International Airport
11150,1115005,CSG,"Columbus, GA",GA,Columbus Airport
11612,1161206,EVV,"Evansville, IN",IN,Evansville Regional Airport
10781,1078105,BTR,"Baton Rouge, LA",LA,Baton Rouge Metropolitan Airport
13029,1302902,LNK,"Lincoln, NE",NE,Lincoln Airport
16869,1686901,XWA,"Williston, ND",ND,Williston Basin International Airport
10409,1040903,ATY,"Watertown, SD",SD,Watertown Regional Airport
13964,1396403,OTH,"North Bend/Coos Bay, OR",OR,Southwest Oregon Regional Airport
15023,1502305,STS,"Santa Rosa, CA",CA,Charles M. Schulz–Sonoma County Airport
12523,1252306,JNU,"Juneau, AK",AK,Juneau International Airport
10158,1015804,ACY,"Atlantic City, NJ",NJ,Atlantic City International Airport
10466,1046602,AZA,"Phoenix, AZ",AZ,Phoenix–Mesa Gateway Airport
14082,1408202,PGD,"Punta Gorda, FL",FL,Punta Gorda Airport
12119,1211902,HGR,"Hagerstown, MD",MD,Hagerstown Regional Airport
10685,1068502,BMI,"Bloomington/Normal, IL",IL,Central Illinois Regional Airport
15919,1591905,XNA,"Fayetteville, AR",AR,Northwest Arkansas National Airport
14574,1457406,ROA,"Roanoke, VA",VA,Roanoke-Blacksburg Regional Airport
12889,1288904,LAS,"Las Vegas, NV",NV,Harry Reid International Airport
13486,1348603,MSO,"Missoula, MT",MT,Missoula Montana Airport
14004,1400403,PAE,"Everett, WA",WA,Paine Field
13360,1336004,MLB,"Melbourne, FL",FL,Melbourne Orlando International Airport
12559,1255905,JST,"Johnstown, PA",PA,John Murtha Johnstown–Cambria County Airport
16422,1642204,GUF,"Gulf Shores, AL",AL,Edwards Airport
10561,1056104,BFL,"Bakersfield, CA",CA,Meadows Field Airport
11778,1177804,FSM,"Fort Smith, AR",AR,Fort Smith Regional Airport
11540,1154006,ELP,"El Paso, TX",TX,El Paso International Airport
14314,1431403,PVU,"Provo, UT",UT,Provo Airport
11259,1125905,DAL,"Dallas, TX",TX,Dallas Love Field
15023,1502306,STS,"Santa Rosa, CA",CA,Charles M. Schulz–Sonoma County Airport
13970,1397006,OTZ,"Kotzebue, AK",AK,Ralph Wien Memorial Airport
11577,1157707,ERI,"Erie, PA",PA,Erie International Airport
15376,1537602,TUS,"Tucson, AZ",AZ,Tucson International Airport
11278,1127805,DCA,"Washington, DC",VA,Ronald Reagan Washington National Airport
13930,1393007,ORD,"Chicago, IL",IL,Chicago O’Hare International Airport
11996,1199603,GSP,"Greer, SC",SC,Greenville–Spartanburg International Airport
12451,1245102,JAX,"Jacksonville, FL",FL,Jacksonville International Airport
10693,1069302,BNA,"Nashville, TN",TN,Nashville International Airport
13485,1348502,MSN,"Madison, WI",WI,Dane County Regional Airport
12982,1298202,LIH,"Lihue, HI",HI,Lihue Airport
10208,1020803,AGS,"Augusta, GA",GA,Augusta Regional Airport
11641,1164102,FAY,"Fayetteville, NC",NC,Fayetteville Regional Airport
12402,1240203,ITO,"Hilo, HI",HI,Hilo International Airport
12896,1289607,LBB,"Lubbock, TX",TX,Lubbock Preston Smith International Airport
11140,1114008,CRP,"Corpus Christi, TX",TX,Corpus Christi International Airport
10185,1018502,AEX,"Alexandria, LA",LA,Alexandria International Airport
10785,1078502,BTV,"Burlington, VT",VT,Burlington International Airport
14150,1415002,PLN,"Pellston, MI",MI,Pellston Regional Airport
14004,1400402,PAE,"Everett, WA",WA,Paine Field
12819,1281902,KTN,"Ketchikan, AK",AK,Ketchikan International Airport
14254,1425404,PSE,"Ponce, PR",PR,Mercedita Airport
14314,1431402,PVU,"Provo, UT",UT,Provo Airport
10666,1066602,BLI,"Bellingham, WA",WA,Bellingham International Airport
12265,1226505,IAG,"Niagara Falls, NY",NY,Niagara Falls International Airport
13983,1398305,OWB,"Owensboro, KY",KY,Owensboro–Daviess County Regional Airport
14092,1409205,PGV,"Greenville, NC",NC,Pitt–Greenville Airport
14222,1422207,PPG,"Pago Pago, TT",TT,Pago Pago International Airport
11413,1141306,DRO,"Durango, CO",CO,Durango–La Plata County Airport
10529,1052907,BDL,"Hartford, CT",CT,Bradley International Airport
12397,1239703,ITH,"Ithaca/Cortland, NY",NY,Ithaca Tompkins International Airport
14489,1448903,RDM,"Bend/Redmond, OR",OR,Redmond Municipal Airport
13873,1387306,OME,"Nome, AK",AK,Nome Airport
10154,1015406,ACK,"Nantucket, MA",MA,Nantucket Memorial Airport
11067,1106703,CMI,"Champaign/Urbana, IL",IL,University of Illinois Willard Airport
13211,1321105,MCW,"Mason City, IA",IA,Mason City Municipal Airport
15569,1556903,VCT,"Victoria, TX",TX,Victoria Regional Airport
11725,1172502,FOD,"Fort Dodge, IA",IA,Fort Dodge Regional Airport
11092,1109203,CNY,"Moab, UT",UT,Canyonlands Field
13282,1328207,MGW,"Morgantown, WV",WV,Morgantown Municipal Airport
14193,1419307,PNS,"Pensacola, FL",FL,Pensacola International Airport
14100,1410006,PHL,"Philadelphia, PA",PA,Philadelphia International Airport
11612,1161207,EVV,"Evansville, IN",IN,Evansville Regional Airport
12323,1232306,ILM,"Wilmington, NC",NC,Wilmington International Airport
10136,1013604,ABI,"Abilene, TX",TX,Abilene Regional Airport
10747,1074707,BRO,"Brownsville, TX",TX,Brownsville South Padre Island International Airport
11775,1177503,FSD,"Sioux Falls, SD",SD,Sioux Falls Regional Airport
10135,1013507,ABE,"Allentown/Bethlehem/Easton, PA",PA,Lehigh Valley International Airport
10874,1087403,CAK,"Akron, OH",OH,Akron–Canton Airport
16133,1613305,YNG,"Youngstown/Warren, OH",OH,Youngstown–Warren Regional Airport
10990,1099005,CHO,"Charlottesville, VA",VA,Charlottesville–Albemarle Airport
11986,1198603,GRR,"Grand Rapids, MI",MI,Gerald R. Ford International Airport
12889,1288903,LAS,"Las Vegas, NV",NV,Harry Reid International Airport
14193,1419306,PNS,"Pensacola, FL",FL,Pensacola International Airport
10140,1014005,ABQ,"Albuquerque, NM",NM,Albuquerque International Sunport
14635,1463502,RSW,"Fort Myers, FL",FL,Southwest Florida International Airport
10135,1013506,ABE,"Allentown/Bethlehem/Easton, PA",PA,Lehigh Valley International Airport
14570,1457002,RNO,"Reno, NV",NV,Reno–Tahoe International Airport
14098,1409803,PHF,"Newport News/Williamsburg, VA",VA,Newport News/Williamsburg International Airport
12206,1220605,HRL,"Harlingen/San Benito, TX",TX,Valley International Airport
11537,1153706,ELM,"Elmira/Corning, NY",NY,Elmira/Corning Regional Airport
14108,1410803,PIA,"Peoria, IL",IL,General Wayne A. Downing Peoria International Airport
11921,1192102,GJT,"Grand Junction, CO",CO,Grand Junction Regional Airport
11122,1112205,CPR,"Casper, WY",WY,Casper–Natrona County International Airport
13344,1334403,MKG,"Muskegon, MI",MI,Muskegon County Airport
12177,1217705,HOB,"Hobbs, NM",NM,Lea County Regional Airport
14487,1448702,RDD,"Redding, CA",CA,Redding Municipal Airport
13290,1329003,MHK,"Manhattan/Ft. Riley, KS",KS,Manhattan Regional Airport
11413,1141307,DRO,"Durango, CO",CO,Durango–La Plata County Airport
13873,1387305,OME,"Nome, AK",AK,Nome Airport
